session,frame,grid,variant,orientation,matched,mismatched,partner
20241219_044052,20241219_044052_000051,4,full,0,0.039504748183517846,0.02883735760364591,20241219_044052_000030
20241219_044052,20241219_044052_000052,4,full,0,-0.0809619812156377,-0.08583057979779112,20241219_044052_000019
20241219_044052,20241219_044052_000053,4,full,0,0.18140054573496658,0.18854798721624924,20241219_044052_000050
20241219_044052,20241219_044052_000054,4,full,0,-0.015166436942395509,-0.026453387470856144,20241219_044052_000050
20241219_044052,20241219_044052_000055,4,full,0,-0.18396158017109351,-0.18389566844569072,20241219_044052_000025
20241219_044052,20241219_044052_000056,4,full,0,-0.2489738742045314,-0.2072097168858342,20241219_044052_000031
20241219_044052,20241219_044052_000057,4,full,0,-0.00464343833551097,0.06884694275362735,20241219_044052_000032
20241219_044052,20241219_044052_000058,4,full,0,-0.033071492933254114,-0.06078751012698824,20241219_044052_000016
20241219_044052,20241219_044052_000059,4,full,0,-0.13696097225585227,-0.16882911443821155,20241219_044052_000002
20241219_044052,20241219_044052_000060,4,full,0,0.051366033735948224,-0.0033144260022326074,20241219_044052_000026
20241219_044052,20241219_044052_000061,4,full,0,0.12764906122369077,0.0771755263552082,20241219_044052_000056
20241219_044052,20241219_044052_000062,4,full,0,0.043521833209518544,0.031888699886130134,20241219_044052_000048
20241219_044052,20241219_044052_000063,4,full,0,0.08482965863154279,0.05568184532195297,20241219_044052_000049
20241219_044529,20241219_044529_000000,4,full,0,0.337497495581049,0.2801320133341079,20241219_044529_000049
20241219_044529,20241219_044529_000001,4,full,0,0.25660467146331917,0.2725388674253359,20241219_044529_000003
20241219_044529,20241219_044529_000002,4,full,0,0.0658586910440337,0.09433138202153209,20241219_044529_000027
20241219_044529,20241219_044529_000003,4,full,0,0.18331939861132152,0.18279796308238708,20241219_044529_000000
20241219_044529,20241219_044529_000004,4,full,0,0.357962996512224,0.22743884346816978,20241219_044529_000023
20241219_044529,20241219_044529_000005,4,full,0,-0.2891957028230158,-0.2802879657562483,20241219_044529_000050
20241219_044529,20241219_044529_000006,4,full,0,0.3246820142193718,0.3262414545201691,20241219_044529_000043
20241219_044529,20241219_044529_000007,4,full,0,0.10386069241362435,0.07266932242018428,20241219_044529_000046
20241219_044529,20241219_044529_000008,4,full,0,-0.0011921907163331784,-0.02628089818996182,20241219_044529_000044
20241219_044529,20241219_044529_000009,4,full,0,0.031320031703482416,0.10084630030482349,20241219_044529_000025
20241219_044529,20241219_044529_000010,4,full,0,0.26778698429701026,0.23738711339717591,20241219_044529_000063
20241219_044529,20241219_044529_000011,4,full,0,-0.16963329269877192,-0.1873945991731444,20241219_044529_000042
20241219_044529,20241219_044529_000012,4,full,0,0.09804705044617569,0.12251403504114382,20241219_044529_000009
20241219_044529,20241219_044529_000013,4,full,0,-0.08283094860211823,-0.05987945804841543,20241219_044529_000010
20241219_044529,20241219_044529_000014,4,full,0,-0.15408995276970552,-0.09661591855993366,20241219_044529_000058
20241219_044529,20241219_044529_000015,4,full,0,-0.2918393996720831,-0.28312148207538673,20241219_044529_000058
20241219_044529,20241219_044529_000016,4,full,0,-0.08760958893118892,-0.06737249098870997,20241219_044529_000053
20241219_044529,20241219_044529_000017,4,full,0,-0.2102383241863215,-0.18896005517591893,20241219_044529_000057
20241219_044529,20241219_044529_000018,4,full,0,-0.07419159965730455,-0.0659749172497443,20241219_044529_000008
20241219_044529,20241219_044529_000019,4,full,0,-0.12094989278040051,-0.12819893331393376,20241219_044529_000061
20241219_044529,20241219_044529_000020,4,full,0,0.03665039807943029,-0.014330476113130422,20241219_044529_000047
20241219_044529,20241219_044529_000021,4,full,0,-0.2195869038247458,-0.17370353831057153,20241219_044529_000017
20241219_044529,20241219_044529_000022,4,full,0,-0.27281065702898427,-0.18106060346180988,20241219_044529_000029
20241219_044529,20241219_044529_000023,4,full,0,-0.19791868717864172,-0.19356559882377108,20241219_044529_000029
20241219_044529,20241219_044529_000024,4,full,0,0.17690351882774466,0.13719895963943654,20241219_044529_000001
20241219_044529,20241219_044529_000025,4,full,0,-0.009263690968995639,-0.001265872385981683,20241219_044529_000026
20241219_044529,20241219_044529_000026,4,full,0,0.029710665746717057,0.057794160854323186,20241219_044529_000004
20241219_044529,20241219_044529_000027,4,full,0,-0.07848506663418117,-0.11392504178249291,20241219_044529_000041
20241219_044529,20241219_044529_000028,4,full,0,-0.03537142261366342,-0.08484863746281368,20241219_044529_000051
20241219_044529,20241219_044529_000029,4,full,0,-0.04116660198004467,-0.04439495627232429,20241219_044529_000060
20241219_044529,20241219_044529_000030,4,full,0,0.1781444426935573,0.1619115252403561,20241219_044529_000033
20241219_044529,20241219_044529_000031,4,full,0,-0.13207104972575678,-0.0935101709381766,20241219_044529_000030
20241219_044529,20241219_044529_000032,4,full,0,0.09911569816055756,0.07280621191476354,20241219_044529_000016
20241219_044529,20241219_044529_000033,4,full,0,-0.334391533443944,-0.36918004459552023,20241219_044529_000002
20241219_044529,20241219_044529_000034,4,full,0,-0.2823732967958163,-0.266871859246493,20241219_044529_000039
20241219_044529,20241219_044529_000035,4,full,0,-0.030357345367503435,-0.002893303095920785,20241219_044529_000012
20241219_044529,20241219_044529_000036,4,full,0,-0.238440327420642,-0.26196504706484075,20241219_044529_000011
